userId,startedAt,endedAt,sessionStartLat,sessionStartLong
cSQQCNHal+ZS4kQqg8/wkzp/p4q9LnvF4ex/SO0f5CA=,2019-05-01 14:54:28.219 UTC,2019-05-01 15:02:40.511 UTC,37.7861,-122.4047
IszkwHIoc89FsxBCBnQepUmDZlYGtoi3E7DFXt3/HB0=,2019-05-01 14:55:29.664 UTC,2019-05-01 14:55:53.319 UTC,37.769,-122.4535
SJQUrBxQdaK2Dcae/nQOx2Q+AIZYDdRa562QI1UfL2U=,2019-05-01 14:56:36.631 UTC,2019-05-01 15:28:24.773 UTC,37.7903,-122.4219
LhiSr8nx25deB6oaLvSyuIQjmiq0UAY4flULj/8P5nQ=,2019-05-01 14:59:54.454 UTC,2019-05-01 15:08:40.469 UTC,37.7895,-122.4071
tiVSBLXnjIC/Dok7zlzCAZr63/earI+bCVdX2WRs+44=,2019-05-01 15:01:26.606 UTC,2019-05-01 15:02:13.087 UTC,37.7606,-122.4415
hIsc8PMgmacxej1rGJTtApRD5V7CL2fRKpRAzDZGJvw=,2019-05-01 15:06:45.729 UTC,2019-05-01 15:13:25.199 UTC,37.7801,-122.3951
svoe20TgPzAn4MsRkerCCiz3zg4Sf4rZBKh68umeVJE=,2019-05-01 15:09:51.775 UTC,2019-05-01 15:09:57.860003 UTC,37.7914,-122.4056
GS2h5wcwt3CXEPQjO1hlYrS+huQr2i9aDcSQ1vl4ADw=,2019-05-01 15:12:38.345 UTC,2019-05-01 15:34:17.905 UTC,37.7981,-122.3955
pakcK6vSBKkoR0tDgeT9tfaKK8PbMck8NVmw03tBTRU=,2019-05-01 15:12:47.562 UTC,2019-05-01 15:20:10.296 UTC,37.7746,-122.3965
uO7N78BnR0f0StvEiDo3Fcnrvn/n7McDGWboq6g8Nlc=,2019-05-01 15:15:01.357 UTC,2019-05-01 15:34:05.097 UTC,37.7816,-122.3923
P+VApGZTdzA3Blg6KYjaHhaowZ9zC0uMPER1UGnxHoU=,2019-05-01 15:16:14.515 UTC,2019-05-01 15:41:28.184 UTC,37.7621,-122.4403
z9dW+2JYMuuBnyCv+myDQANNDAQbaA4vWI3qvbnkbrA=,2019-05-01 15:19:01.312 UTC,2019-05-01 15:29:58.445017 UTC,37.8147,-122.2708
UFI0MSZ1qU9dlzek2t/O3f1CM4VgRyVXPxEYUKOhObI=,2019-05-01 15:19:52.428 UTC,2019-05-01 15:40:27.478 UTC,37.7942,-122.3964
srl4T6XMJ30PhdB1mN0NOCbJpSNMAUNdUavPugLyuV8=,2019-05-01 15:20:38.052 UTC,2019-05-01 15:20:38.294001 UTC,37.7763,-122.3979
Z2AxGO1QnyVN/qdmyjWL/0rPZLzaZ73Eb/d30vCPc88=,2019-05-01 15:20:58.835 UTC,2019-05-01 15:46:57.436 UTC,37.7558,-122.4131
G3zA/lDIC63b1urJfK+uB7RfokNgDaE8fhYLeQa1FQI=,2019-05-01 15:22:07.692 UTC,2019-05-01 15:29:43.399 UTC,37.7896,-122.4006
rgLEC31j0RBmus0pugYpM93Y2s9niBhhPTi8AwkRuCA=,2019-05-01 15:22:37.193 UTC,2019-05-01 15:28:34.545 UTC,37.7671,-122.4292
7Ua0QRudVr+I+5OAc5E0+3waZwn/hxHQe9eKHe5eE1M=,2019-05-01 15:22:54.486 UTC,2019-05-01 15:35:47.300 UTC,37.7935,-122.4028
kqAPShMglG8HB+s1ZR01wOnQtlX2myUwRFlNcwrSE64=,2019-05-01 15:23:07.722 UTC,2019-05-01 15:23:24.625 UTC,37.7738,-122.4101
giFpVpQlyb0ycSjo/71jZeXeV8lQswEIBSLFk1MEefA=,2019-05-01 15:24:49.183 UTC,2019-05-01 15:59:34.482 UTC,37.768,-122.4249
n5HeXWoGsX8x7iu/oYe4Xsd8Nnv8DONrqVg3+7KLMrs=,2019-05-01 15:28:05.164 UTC,2019-05-01 15:46:50.670 UTC,37.7909,-122.4032
BFcPDPQAFMCq3PH102WxmyoTxZuKS6xTNAw0rtWH6aM=,2019-05-01 15:32:25.578 UTC,2019-05-01 15:32:38.631001 UTC,37.8009,-122.4251
BK+Wvewe5yDXeWE/7jKC7BuX8I6VyIJWoPhHm+baoTY=,2019-05-01 15:34:33.172 UTC,2019-05-01 15:42:40.489 UTC,37.7868,-122.392
/n49o4/BNNqxMM/+W8gI6taAYqolANW2TgeJSs91qZQ=,2019-05-01 15:36:07.134 UTC,2019-05-01 15:45:14.333 UTC,37.7937,-122.3954
NQMcfApRK8kHlqF1ybl9T8Effeu6+G5MzZo2oSQjTvw=,2019-05-01 15:36:14.172 UTC,2019-05-01 15:44:34.786 UTC,37.7828,-122.4321
GKOMBPL3pj7yolss+/QxAYac9sLYoEm1ChQWsrdZN/o=,2019-05-01 15:38:16.566 UTC,2019-05-01 15:47:21.186 UTC,37.7813,-122.3967
25rkhs95YuSqPI2oy9PJHk7gK1kCvlCRHtYuzffCxGw=,2019-05-01 15:39:15.732 UTC,2019-05-01 15:45:41.430 UTC,37.7867,-122.3918
nny0HmxCQYOgkwRpGhSh94O3XNLZBWDTslA8U9btEtI=,2019-05-01 15:42:07.573 UTC,2019-05-01 16:00:26.561 UTC,37.785,-122.3878
Soa5FEk8z2UeqH/afqQnOxqQOn86navSlt67nrsMO7Q=,2019-05-01 15:47:18.091 UTC,2019-05-01 16:05:29.680 UTC,37.8048,-122.4134
oaCTH9nFhnsjV//YiDGV5VNHp1Eh26SPNeAOo/sgGT8=,2019-05-01 15:47:40.758 UTC,2019-05-01 16:04:01.231 UTC,37.7667,-122.4492
MFdGdu0lExHqqHXiy2FJxdGeMC2IW7b8Xd9S9Z9aFNc=,2019-05-01 15:47:47.941 UTC,2019-05-01 15:59:44.294 UTC,37.7948,-122.4003
HYwUgSwK/qBnyDttvwZU/mKbwrmLMFjmq5R7j1xThyU=,2019-05-01 15:48:44.999 UTC,2019-05-01 15:48:48.542 UTC,37.7759,-122.3967
CLKmHOAptOzTHxYihNp7mapdQYipRnHC0sl7sa8yb04=,2019-05-01 15:50:11.534 UTC,2019-05-01 16:19:14.561 UTC,37.8063,-122.4153
z0fVe0Je/63Ytd9WN2NHkZdPksz5qqOAkw11gPZNA44=,2019-05-01 15:53:08.823 UTC,2019-05-01 16:42:09.678 UTC,37.769,-122.3882
l6vrptLYNTTPPT9d5bZ4XRTMs3SOui0Pm2lpGrdjvL0=,2019-05-01 15:53:21.365 UTC,2019-05-01 15:53:21.892001 UTC,37.7798,-122.422
Rbl8uQR2N9pVdWS+8he8GuGbe8faHLq/vsqLQUvBgQw=,2019-05-01 15:54:12.469 UTC,2019-05-01 15:54:37.030001 UTC,37.7809,-122.3927
b0zdVEJ+ThUOef2Rnh0CZxalHDyHvZsVJMlSznFWeIU=,2019-05-01 15:54:25.060 UTC,2019-05-01 16:36:51.801 UTC,37.7992,-122.433
i8yA7rQz83bJJDcESZoH9/NYXYPorT1bKeMhfsLkYu8=,2019-05-01 15:55:30.844 UTC,2019-05-01 15:58:27.727 UTC,37.7863,-122.3971
Wkx8lIncw4gdDfjlPwWPLulki34SDI3l9Q4z+/dX5ZQ=,2019-05-01 15:56:34.099 UTC,2019-05-01 15:57:07.205 UTC,37.7811,-122.4065
poxoDwj6Iimpom4GGTd2I8hrMgIP60U3mkBosMC4fOU=,2019-05-01 15:57:59.573 UTC,2019-05-01 16:05:48.199 UTC,37.7368,-121.4343
8Fi3u3qTAJS/jXK+rau0kjKLD43Jmc+l1JkDsUfYDSM=,2019-05-01 15:58:56.466 UTC,2019-05-01 15:59:03.414001 UTC,37.9877,-121.7938
sC7zAJ7hjFg+3RHkDTeD8Na2bMgBMO7cUw4xEvqIVc4=,2019-05-01 16:00:57.646 UTC,2019-05-01 16:01:13.316 UTC,37.7902,-122.3929
I19pi9g5kNdg9JXpWQTMDvD3A32FQEf9qOW/Hp03Q78=,2019-05-01 16:03:36.971 UTC,2019-05-01 16:03:51.477001 UTC,37.7948,-122.3955
/7FwluSzw2D3aEUtoL558dwQRb998JmfihqIoEjrolw=,2019-05-01 16:03:57.468 UTC,2019-05-01 16:16:47.562010 UTC,37.7845,-122.4327
VNalW5pPUlPm2tKzQpK9yo/dqt61tQyU5+nNwyqPq60=,2019-05-01 16:05:24.159 UTC,2019-05-01 16:08:32.481013 UTC,37.7898,-122.3902
MMCqC+E1N/GRi3tRvm+wOcYS8tKsCu0A6ck2lQzpiDk=,2019-05-01 16:09:28.649 UTC,2019-05-01 16:25:12.415006 UTC,37.7612,-122.4016
guJjSQ90zJMkpuaZM0HMaHiRWdzHCeGzd9I6tQzA2+8=,2019-05-01 16:10:13.983 UTC,2019-05-01 16:10:21.793001 UTC,37.7896,-122.4235
ixYrCCB+cPViJ4cJ28JjiB/nogx3QQfb3HjUzzk6BdU=,2019-05-01 16:14:05.635 UTC,2019-05-01 16:37:32.520010 UTC,37.7612,-122.3937
H6qBjEBe73xCSoWMzfc1S+PkMrqZ7HeF70UBfOe6Q8U=,2019-05-01 16:17:33.243 UTC,2019-05-01 16:52:31.536 UTC,37.7922,-122.4042
3zgBzHbt9HGblTuxuvq/QNBq7HmEMN9vcfFe9/93BDI=,2019-05-01 16:19:19.193 UTC,2019-05-01 16:36:37.164 UTC,37.7762,-122.3949
J1vgkju+CMIOP8kOz3eZrw6cPDpz7L0mw/T5ieKW5ns=,2019-05-01 16:19:37.869 UTC,2019-05-01 16:30:20.448001 UTC,37.7793,-122.4138
IszkwHIoc89FsxBCBnQepUmDZlYGtoi3E7DFXt3/HB0=,2019-05-01 16:20:26.546 UTC,2019-05-01 16:28:55.883 UTC,37.7864,-122.4334
7s7j+ZoEv0ixmKhavFTjgk6Y7lwmK+gVhuvtLePItmE=,2019-05-01 16:22:02.858 UTC,2019-05-01 16:58:09.925002 UTC,37.806,-122.4189
2A4YveHHh2VfAFAfv+pmHe2u8BIqptMAYXkyWAuiXSY=,2019-05-01 16:24:37.946 UTC,2019-05-01 17:05:20.170002 UTC,37.7711,-122.3912
