userId,startedAt,endedAt,startedLocationLat,startedLocationLong,endedLocationLat,endedLocationLong
giFpVpQlyb0ycSjo/71jZeXeV8lQswEIBSLFk1MEefA=,2019-05-01 15:25:28.660 UTC,2019-05-01 15:31:30.739 UTC,37.7688,-122.4275,37.7766,-122.4185
SmT0hR7ZZ/dqOCjOQa5JSKma5UH5oEt2pKRz8EWbsWI=,2019-05-01 15:27:48.059 UTC,2019-05-01 15:36:22.968 UTC,37.7862,-122.397,37.7757,-122.4037
7Ua0QRudVr+I+5OAc5E0+3waZwn/hxHQe9eKHe5eE1M=,2019-05-01 15:27:50.813 UTC,2019-05-01 15:34:54.865 UTC,37.8036,-122.4154,37.7913,-122.4027
Z2AxGO1QnyVN/qdmyjWL/0rPZLzaZ73Eb/d30vCPc88=,2019-05-01 15:30:59.632 UTC,2019-05-01 15:46:06.792 UTC,37.7575,-122.4212,37.7902,-122.4004
n5HeXWoGsX8x7iu/oYe4Xsd8Nnv8DONrqVg3+7KLMrs=,2019-05-01 15:31:00.434 UTC,2019-05-01 15:46:46.841 UTC,37.7692,-122.4316,37.7908,-122.4032
BK+Wvewe5yDXeWE/7jKC7BuX8I6VyIJWoPhHm+baoTY=,2019-05-01 15:35:13.559 UTC,2019-05-01 15:36:21.805 UTC,37.7871,-122.3927,37.7869,-122.3923
/n49o4/BNNqxMM/+W8gI6taAYqolANW2TgeJSs91qZQ=,2019-05-01 15:36:28.851 UTC,2019-05-01 15:44:43.878 UTC,37.7957,-122.3943,37.8061,-122.4119
BK+Wvewe5yDXeWE/7jKC7BuX8I6VyIJWoPhHm+baoTY=,2019-05-01 15:37:12.571 UTC,2019-05-01 15:42:12.590 UTC,37.7869,-122.3933,37.7847,-122.3975
GKOMBPL3pj7yolss+/QxAYac9sLYoEm1ChQWsrdZN/o=,2019-05-01 15:39:14.178 UTC,2019-05-01 15:44:18.563 UTC,37.7887,-122.4019,37.7813,-122.397
25rkhs95YuSqPI2oy9PJHk7gK1kCvlCRHtYuzffCxGw=,2019-05-01 15:39:26.378 UTC,2019-05-01 15:45:25.653 UTC,37.7867,-122.392,37.7837,-122.3986
Soa5FEk8z2UeqH/afqQnOxqQOn86navSlt67nrsMO7Q=,2019-05-01 15:50:17.875 UTC,2019-05-01 16:04:52.078 UTC,37.8053,-122.4134,37.7784,-122.3915
giFpVpQlyb0ycSjo/71jZeXeV8lQswEIBSLFk1MEefA=,2019-05-01 15:50:48.607 UTC,2019-05-01 15:59:26.708 UTC,37.7974,-122.396,37.8083,-122.4157
oaCTH9nFhnsjV//YiDGV5VNHp1Eh26SPNeAOo/sgGT8=,2019-05-01 15:50:58.109 UTC,2019-05-01 16:03:39.933 UTC,37.7729,-122.4389,37.7755,-122.4125
SmT0hR7ZZ/dqOCjOQa5JSKma5UH5oEt2pKRz8EWbsWI=,2019-05-01 15:52:43.050 UTC,2019-05-01 16:04:32.753 UTC,37.7764,-122.4035,37.7863,-122.3971
CLKmHOAptOzTHxYihNp7mapdQYipRnHC0sl7sa8yb04=,2019-05-01 15:53:38.638 UTC,2019-05-01 16:19:07.500 UTC,37.806,-122.4155,37.8078,-122.4193
i8yA7rQz83bJJDcESZoH9/NYXYPorT1bKeMhfsLkYu8=,2019-05-01 15:55:39.720 UTC,2019-05-01 15:58:22.072 UTC,37.7863,-122.3964,37.7812,-122.3929
z0fVe0Je/63Ytd9WN2NHkZdPksz5qqOAkw11gPZNA44=,2019-05-01 15:57:19.766 UTC,2019-05-01 16:15:16.487 UTC,37.769,-122.3877,37.7737,-122.3878
MFdGdu0lExHqqHXiy2FJxdGeMC2IW7b8Xd9S9Z9aFNc=,2019-05-01 15:59:36.251 UTC,2019-05-01 16:11:17.483 UTC,37.7976,-122.4317,37.7941,-122.3981
poxoDwj6Iimpom4GGTd2I8hrMgIP60U3mkBosMC4fOU=,2019-05-01 15:59:36.764 UTC,2019-05-01 16:41:10.843 UTC,37.7709,-122.3875,37.7687,-122.3881
