station_id,station_name,station_city,latitude,longitude,station_capacity
601,Central St Metra,Evanston,42.063598,-87.69873,15
602,Central St & Girard Ave,Evanston,42.064313,-87.686152,15
603,Chicago Ave & Sheridan Rd,Evanston,42.050491,-87.677821,15
604,Sheridan Rd & Noyes St (NU),Evanston,42.058239,-87.677432,15
605,University Library (NU),Evanston,42.052939,-87.673447,15
606,Forest Ave & Chicago Ave,Oak Park,41.894355,-87.80022,19
607,Cuyler Ave & Augusta St,Oak Park,41.898168,-87.783055,11
608,Humphrey Ave & Ontario St,Oak Park,41.890249,-87.778281,11
609,Forest Ave & Lake St,Oak Park,41.88891,-87.800255,15
610,Marion St & South Blvd,Oak Park,41.88681,-87.80287,19
611,Oak Park Ave & South Blvd,Oak Park,41.886923,-87.793899,19
612,Ridgeland Ave & Lake St,Oak Park,41.888085,-87.785236,15
613,Wisconsin Ave & Madison St (Temp),Oak Park,41.879902,-87.803911,11
614,East Ave & Madison St,Oak Park,41.880113,-87.789247,15
615,Lombard Ave & Madison St,Oak Park,41.87981,-87.779425,15
616,Oak Park Ave & Harrison St,Oak Park,41.872987,-87.793945,19
617,East Ave & Garfield St,Oak Park,41.871312,-87.788938,15
618,Lombard Ave & Garfield St,Oak Park,41.870699,-87.778797,19
619,Keystone Ave & Fullerton Ave,Chicago,41.924361,-87.727752,15
620,Orleans St & Chestnut St (NEXT Apts),Chicago,41.898203,-87.637536,15
622,California Ave & Cortez St,Chicago,41.900363,-87.696704,15
623,Michigan Ave & 8th St,Chicago,41.872773,-87.623981,31
624,Dearborn St & Van Buren St (*),Chicago,41.876268,-87.629155,16
625,Chicago Ave & Dempster St,Evanston,42.041691,-87.680687,15
626,Delano Ct & Roosevelt Rd,Chicago,41.867491,-87.63219,19
